word, synset, definition
department, department.n.01, a specialized division of a large organization
helper, assistant.n.01, a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
warranty, guarantee.n.01, a written assurance that some product or service will be provided or will meet certain specifications
roman, roman.n.01, a resident of modern Rome
batting, batting.n.02, stuffing made of rolls or sheets of cotton wool or synthetic fiber
herd, ruck.n.01, a crowd especially of ordinary or undistinguished persons or things
drainage, drain.n.01, emptying something accomplished by allowing liquid to run out of it
duncan, duncan.n.01, United States dancer and pioneer of modern dance (1878-1927)
cream, cream.n.01, the best people or things in a group
gulf, gulf.n.02, an unbridgeable disparity (as from a failure of understanding)
controller, control.n.09, a mechanism that controls the operation of a machine
ordination, ordering.n.01, logical or comprehensible arrangement of separate elements
seneca, seneca.n.01, Roman statesman and philosopher who was an advisor to Nero; his nine extant tragedies are modeled on Greek tragedies (circa 4 BC - 65 AD)
formation, constitution.n.02, the act of forming or establishing something
guam, guam.n.01, the largest and southernmost island in the Marianas which is administered as a territory of the United States; it was ceded by Spain to the United States in 1898
yeast, yeast.n.01, a commercial leavening agent containing yeast cells; used to raise the dough in making bread and for fermenting beer or whiskey
washing, laundry.n.01, garments or white goods that can be cleaned by laundering
grad, grad.n.01, one-hundredth of a right angle
rna, ribonucleic_acid.n.01, (biochemistry) a long linear polymer of nucleotides found in the nucleus but mainly in the cytoplasm of a cell where it is associated with microsomes; it transmits genetic information from DNA to the cytoplasm and controls certain chemical processes in the cell
watering, lacrimation.n.01, shedding tears
chilean, chilean.n.01, a native or inhabitant of Chile
crow, brag.n.01, an instance of boastful talk
birthplace, birthplace.n.02, where something originated or was nurtured in its early existence
doc, doctor.n.01, a licensed medical practitioner
stab, shot.n.16, informal words for any attempt or effort
fort, fortress.n.01, a fortified defensive structure
strand, chain.n.10, a necklace made by a stringing objects together
defense, defense.n.11, a defendant's answer or plea denying the truth of the charges against him
infrastructure, infrastructure.n.02, the stock of basic facilities and capital equipment needed for the functioning of a country or area
titanium, titanium.n.01, a light strong grey lustrous corrosion-resistant metallic element used in strong lightweight alloys (as for airplane parts); the main sources are rutile and ilmenite
layout, layout.n.01, a plan or design of something that is laid out
oscar, academy_award.n.01, an annual award by the Academy of Motion Picture Arts and Sciences for achievements in motion picture production and performance
pal, buddy.n.01, a close friend who accompanies his buddies in their activities
noodle, attic.n.03, informal terms for a human head
exporter, exporter.n.01, a businessperson who transports goods abroad (for sale)
swaziland, swaziland.n.01, a landlocked monarchy in southeastern Africa; member of the commonwealth that achieved independence from the United Kingdom in 1968
supply, provision.n.02, the activity of supplying or providing something
webpage, web_page.n.01, a document connected to the World Wide Web and viewable by anyone connected to the internet who has a web browser
macintosh, macintosh.n.02, a waterproof raincoat made of rubberized fabric
horseback, hogback.n.01, a narrow ridge of hills
pascal, pascal.n.01, a unit of pressure equal to one newton per square meter
maestro, maestro.n.01, an artist of consummate skill
crimson, crimson.n.01, a deep and vivid red color
beast, animal.n.01, a living organism characterized by voluntary movement
sleep, rest.n.05, euphemisms for death (based on an analogy between lying in a bed and in a tomb)
confinement, parturiency.n.01, concluding state of pregnancy; from the onset of contractions to the birth of a child
wheel, bicycle.n.01, a wheeled vehicle that has two wheels and is moved by foot pedals
watchdog, watchdog.n.01, a guardian or defender against theft or illegal practices or waste
trojan, trojan.n.01, a native of ancient Troy
cemetery, cemetery.n.01, a tract of land used for burials
training, education.n.05, the result of good upbringing (especially knowledge of correct social behavior)
hillside, hillside.n.01, the side or slope of a hill
input, remark.n.01, a statement that expresses a personal opinion or belief or adds information
wig, wig.n.02, British slang for a scolding
red, loss.n.06, the amount by which the cost of a business exceeds its revenue
cadet, cadet.n.01, a military trainee (as at a military academy)
bulldog, bulldog.n.01, a sturdy thickset short-haired breed with a large head and strong undershot lower jaw; developed originally in England for bull baiting
toilette, toilet.n.04, the act of dressing and preparing yourself
closeout, closeout.n.01, a sale intended to dispose of all remaining stock
rag, rag.n.01, a small piece of cloth or paper
merchant, merchant.n.01, a businessperson engaged in retail trade
detainee, detainee.n.01, some held in custody
doe, department_of_energy.n.01, the federal department responsible for maintaining a national energy policy of the United States; created in 1977
avalanche, avalanche.n.01, a slide of large masses of snow and ice and mud down a mountain
aromatherapy, aromatherapy.n.01, the therapeutic use of aromatic plant extracts and essential oils in baths or massage
chow, chow.n.02, informal terms for a meal
boxer, packer.n.01, a workman employed to pack things into containers
adapter, arranger.n.02, a musician who adapts a composition for particular voices or instruments or for another style of performance
guinea, wop.n.01, (ethnic slur) offensive term for a person of Italian descent
spear, spear.n.02, an implement with a shaft and barbed point used for catching fish
videotape, videotape.n.01, a video recording made on magnetic tape
mcgraw, mcgraw.n.01, United States baseball player and manager (1873-1934)
logger, lumberman.n.01, a person who fells trees
pager, beeper.n.01, an electronic device that generates a series of beeps when the person carrying it is being paged
hardcover, hardback.n.01, a book with cardboard or cloth or leather covers
wrench, wrench.n.01, a sharp strain on muscles or ligaments
baking, baking.n.01, making bread or cake or pastry etc.
kilometer, kilometer.n.01, a metric unit of length equal to 1000 meters (or 0.621371 miles)
blockbuster, blockbuster.n.02, an unusually successful hit with widespread popularity and huge sales (especially a movie or play or recording or novel)
